IID,NROH,SROH,FROH,FIS
A12,7138,935105.465,0.791107988866517,0.3794
A20,7121,892363.747,0.75494809478689,0.6309
A22,4402,520972.625,0.440747724234785,0.2916
A32,5097,633040.325,0.535558048933182,0.4379
A33,5581,692859.489,0.586165622409096,0.4142
A41,6739,851418.321,0.720307880577317,0.6193
AM36,3866,483764.115,0.409268975990254,0.4468
AM7,3118,401165.09,0.339389426574847,0.3036
M23,5262,640010.077,0.541454524458131,0.525
M27,4825,578100.464,0.4890784115328,0.5333
M29,4277,521334.595,0.441053954247813,0.5265
M31,6267,764697.366,0.646941139743828,0.3153
M35,4935,590552.686,0.499613108069237,0.4254
M8,5499,678365.989,0.57390398555016,0.5585
